Run_Group_ID,Video,Resolution,Conf_Thres,IoU_Thres,Weights,Precision,Recall,mAP@0.5,mAP@0.5:0.95,FPS(Pipeline),FPS(Inference_Only),Read(ms),Mask(ms),Prep(ms),Inference(ms),NMS(ms),Total(ms)
20260803-195820-YOLOMG-Test-Run,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.7605,0.6358,0.6747,0.2484,10.92,34.36,4.03,55.79,2.17,27.49,1.61,91.55
YOLOMG-Inference-Run_20260804-162458,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8791,0.8925,0.9114,0.3735,9.44,26.78,3.73,59.73,3.69,35.91,1.42,105.91
YOLOMG-Inference-Run_20260804-162933,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,11.25,35.13,3.15,54.1,2.22,26.85,1.62,88.88
YOLOMG-Inference-Run_20260804-175825,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,14.37,39.22,2.87,31.74,2.13,24.20,1.29,69.59
YOLOMG-Inference-Run_20260804-182900,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,14.97,39.20,0.02,31.68,2.10,24.24,1.26,66.80
YOLOMG-Inference-Run_20260804-185438,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,14.96,39.46,0.02,31.89,1.91,24.05,1.30,66.84
YOLOMG-Inference-Run_20260804-203340,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,14.68,37.55,0.03,31.64,1.70,25.28,1.35,68.11
YOLOMG-Inference-Run_20260804-211819,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,18.51,45.53,0.01,31.48,1.66,20.61,1.36,54.04
YOLOMG-Inference-Run_20260804-214736,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,26.90,59.34,0.01,19.88,1.67,15.30,1.55,37.18
YOLOMG-Inference-Run_20260804-223534,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,56.57,63.08,1.00,15.22,1.28,14.31,1.54,17.68
YOLOMG-Inference-Run_20260804-224630,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,55.56,62.01,1.00,15.14,1.50,14.53,1.59,18.00
YOLOMG-Inference-Run_20260804-224928,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.7832,0.6197,0.6731,0.2480,36.18,61.33,1.00,15.22,1.40,14.59,1.71,27.64
YOLOMG-Inference-Run_20260805-124421,OVERALL_SUMMARY,640,0.001,0.4,runs\train\ARD100_mask32-640_uavs\weights\best.pt,0.8947,0.9037,0.9185,0.3825,55.89,62.43,1.00,15.37,1.52,14.38,1.63,17.89
